"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R2,R2,R2,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"330";;;
2;"R1,R1,R1,R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";4;"100";;;
3;"D1,D1,D1,D1";"LED_3mm_Radial";4;"LED";;;
4;"U1,U1,U1,U1";"DIP-4_W7.62mm";4;"PC817";;;
5;"Q1,Q1,Q1,Q1";"TO-126-3_Vertical";4;"BD139";;;
6;"J1,J1,J1,J1";"Term_Block_1x2_P5mm";4;"LOAD";;;
7;"RLY1,RLY1,RLY1,RLY1";"Relay_JSM1-12V-5";4;"JSM1-12V-5";;;
8;"D2,D2,D2,D2";"D_DO-41_SOD81_P10.16mm_Horizontal";4;"1N4007";;;
